"seller","day_of_week","income"
Abraham Bennet,Monday   ,47327.0
Abraham Bennet,Monday   ,41336.0
Morningstar Greene,Saturday ,16847.0
Anne Ringer,Wednesday,8190.0
Dirk Stringer,Monday   ,18726.0
Charlene Locksley,Tuesday  ,24655.0
Cheryl Carson,Tuesday  ,18690.0
Sheryl Hunter,Sunday   ,20145.0
Dean Straight,Monday   ,20631.0
Ann Dull,Monday   ,35443.0
Stearns MacFeather,Wednesday,14173.0
Sheryl Hunter,Wednesday,22551.0
Cheryl Carson,Tuesday  ,20542.0
Anne Ringer,Monday   ,10023.0
Abraham Bennet,Monday   ,55317.0
Reginald Blotchet-Halls,Friday   ,17690.0
Heather McBadden,Thursday ,25384.0
Michael O'Leary,Sunday   ,13917.0
Livia Karsen,Tuesday  ,8340.0
Morningstar Greene,Saturday ,13087.0
Sheryl Hunter,Monday   ,19586.0
Charlene Locksley,Friday   ,29397.0
Cheryl Carson,Sunday   ,14483.0
Burt Gringlesby,Wednesday,15868.0
Sheryl Hunter,Saturday ,20800.0
Reginald Blotchet-Halls,Monday   ,16703.0
Cheryl Carson,Sunday   ,21402.0
Meander Smith,Tuesday  ,11025.0
Meander Smith,Monday   ,10362.0
Heather McBadden,Tuesday  ,16467.0
Charlene Locksley,Saturday ,26670.0
Johnson White,Wednesday,26862.0
Dean Straight,Wednesday,23978.0
Michel DeFrance,Tuesday  ,27895.0
Johnson White,Sunday   ,26154.0
Charlene Locksley,Sunday   ,22102.0
Dirk Stringer,Tuesday  ,18180.0
Dean Straight,Saturday ,25811.0
Cheryl Carson,Saturday ,18253.0
Albert Ringer,Thursday ,31798.0
Charlene Locksley,Saturday ,26692.0
Stearns MacFeather,Wednesday,11446.0
Burt Gringlesby,Monday   ,27782.0
Morningstar Greene,Saturday ,15972.0
Dean Straight,Friday   ,20166.0
Innes del Castillo,Friday   ,21033.0
Marjorie Green,Friday   ,27500.0
Heather McBadden,Thursday ,18394.0
Michael O'Leary,Wednesday,23494.0
Livia Karsen,Tuesday  ,11603.0
Michel DeFrance,Friday   ,29575.0
Dirk Stringer,Tuesday  ,15819.0
Sylvia Panteley,Tuesday  ,21986.0
Albert Ringer,Saturday ,34579.0
Heather McBadden,Sunday   ,19650.0
Dean Straight,Saturday ,20275.0
Marjorie Green,Friday   ,26688.0
Dirk Stringer,Monday   ,14721.0
Dean Straight,Wednesday,22057.0
Meander Smith,Friday   ,9473.0
Stearns MacFeather,Saturday ,21816.0
Cheryl Carson,Wednesday,13966.0
Albert Ringer,Monday   ,40425.0
Dean Straight,Sunday   ,17257.0
Stearns MacFeather,Saturday ,15568.0
Reginald Blotchet-Halls,Friday   ,22283.0
Sheryl Hunter,Sunday   ,18226.0
Michael O'Leary,Friday   ,18029.0
Marjorie Green,Wednesday,22612.0
Sheryl Hunter,Tuesday  ,16787.0
Innes del Castillo,Friday   ,20813.0
Dirk Stringer,Thursday ,20943.0
Stearns MacFeather,Tuesday  ,18309.0
Dirk Stringer,Wednesday,18153.0
Johnson White,Friday   ,37518.0
Meander Smith,Sunday   ,11646.0
Charlene Locksley,Sunday   ,27778.0
Anne Ringer,Wednesday,8663.0
Stearns MacFeather,Friday   ,12451.0
Sylvia Panteley,Thursday ,20602.0
Sylvia Panteley,Monday   ,14287.0
Abraham Bennet,Wednesday,50788.0
Cheryl Carson,Tuesday  ,16309.0
Morningstar Greene,Thursday ,17782.0
Marjorie Green,Friday   ,36153.0
Johnson White,Monday   ,34498.0
Michael O'Leary,Friday   ,25978.0
Michel DeFrance,Wednesday,21941.0
Burt Gringlesby,Wednesday,24778.0
Reginald Blotchet-Halls,Monday   ,29077.0
Sheryl Hunter,Friday   ,16875.0
Dirk Stringer,Wednesday,16407.0
Johnson White,Thursday ,29347.0
Innes del Castillo,Friday   ,29479.0
Sheryl Hunter,Saturday ,17664.0
Livia Karsen,Sunday   ,12304.0
Michel DeFrance,Friday   ,22416.0
Livia Karsen,Sunday   ,11776.0
Abraham Bennet,Saturday ,45237.0
Michael O'Leary,Tuesday  ,20320.0
Reginald Blotchet-Halls,Saturday ,23855.0
Albert Ringer,Monday   ,33908.0
Albert Ringer,Monday   ,23313.0
Johnson White,Friday   ,34261.0
Albert Ringer,Saturday ,31470.0
Sheryl Hunter,Tuesday  ,21171.0
Ann Dull,Friday   ,31952.0
Abraham Bennet,Saturday ,48812.0
Sylvia Panteley,Wednesday,17134.0
Michel DeFrance,Monday   ,30794.0
Heather McBadden,Friday   ,10512.0
Innes del Castillo,Wednesday,26370.0
Albert Ringer,Thursday ,28291.0
Sheryl Hunter,Tuesday  ,16401.0
Marjorie Green,Monday   ,35827.0
Ann Dull,Sunday   ,33258.0
Ann Dull,Sunday   ,25786.0
Michel DeFrance,Sunday   ,31476.0
Innes del Castillo,Saturday ,22696.0
Cheryl Carson,Saturday ,13626.0
Abraham Bennet,Friday   ,54239.0
Michael O'Leary,Saturday ,25125.0
Reginald Blotchet-Halls,Tuesday  ,21520.0
Johnson White,Wednesday,32379.0
Marjorie Green,Tuesday  ,24880.0
Johnson White,Monday   ,38692.0
Dean Straight,Wednesday,21954.0
Innes del Castillo,Friday   ,27602.0
Ann Dull,Friday   ,35208.0
Meander Smith,Saturday ,8492.0
Michael O'Leary,Sunday   ,21425.0
Ann Dull,Thursday ,28668.0
Abraham Bennet,Friday   ,52430.0
Dirk Stringer,Sunday   ,12294.0
Innes del Castillo,Thursday ,29955.0
Michel DeFrance,Monday   ,26250.0
Cheryl Carson,Thursday ,17520.0
Sheryl Hunter,Monday   ,17315.0
Charlene Locksley,Sunday   ,23529.0
Dean Straight,Thursday ,18478.0
Cheryl Carson,Wednesday,13988.0
Livia Karsen,Saturday ,7511.0
Ann Dull,Tuesday  ,34011.0
Ann Dull,Sunday   ,30025.0
Charlene Locksley,Monday   ,24095.0
Meander Smith,Thursday ,12355.0
Charlene Locksley,Friday   ,20317.0
Sheryl Hunter,Sunday   ,20145.0
Sylvia Panteley,Saturday ,20908.0
Charlene Locksley,Friday   ,24920.0
Michel DeFrance,Tuesday  ,24939.0
Livia Karsen,Saturday ,12477.0
Sheryl Hunter,Saturday ,20051.0
Marjorie Green,Monday   ,26536.0
Sheryl Hunter,Monday   ,12501.0
Reginald Blotchet-Halls,Tuesday  ,15938.0
Heather McBadden,Friday   ,14374.0
Johnson White,Monday   ,30272.0
Sylvia Panteley,Thursday ,18316.0
Ann Dull,Friday   ,41966.0
Livia Karsen,Wednesday,9087.0
Innes del Castillo,Friday   ,21446.0
Burt Gringlesby,Wednesday,25473.0
Anne Ringer,Tuesday  ,10097.0
Innes del Castillo,Wednesday,18038.0
Michel DeFrance,Sunday   ,27822.0
Abraham Bennet,Saturday ,45763.0
Livia Karsen,Monday   ,8696.0
Albert Ringer,Tuesday  ,32741.0
Michel DeFrance,Sunday   ,26944.0
Dirk Stringer,Friday   ,15546.0
Dean Straight,Tuesday  ,23966.0
Marjorie Green,Sunday   ,27466.0
Dirk Stringer,Monday   ,10020.0
Reginald Blotchet-Halls,Sunday   ,17669.0
Cheryl Carson,Friday   ,13344.0
Morningstar Greene,Sunday   ,17331.0
Sheryl Hunter,Sunday   ,13466.0
Livia Karsen,Wednesday,13509.0
Abraham Bennet,Saturday ,57739.0
Anne Ringer,Monday   ,11590.0
Dean Straight,Friday   ,27536.0
Marjorie Green,Sunday   ,31468.0
Michael O'Leary,Sunday   ,20575.0
Albert Ringer,Monday   ,24245.0
Morningstar Greene,Monday   ,15083.0
Stearns MacFeather,Thursday ,20056.0
Dirk Stringer,Monday   ,17340.0
Abraham Bennet,Wednesday,44918.0
Burt Gringlesby,Friday   ,21142.0
Anne Ringer,Saturday ,9757.0
Sylvia Panteley,Saturday ,18270.0
Innes del Castillo,Thursday ,27941.0
Dirk Stringer,Monday   ,17787.0
Stearns MacFeather,Sunday   ,13821.0
Meander Smith,Friday   ,12581.0
Burt Gringlesby,Monday   ,23579.0
Sylvia Panteley,Saturday ,15483.0
Dirk Stringer,Monday   ,21804.0
Albert Ringer,Wednesday,34947.0
Johnson White,Saturday ,26519.0
Dean Straight,Monday   ,15718.0
Livia Karsen,Thursday ,14636.0
Cheryl Carson,Thursday ,14981.0
Abraham Bennet,Wednesday,45302.0
Abraham Bennet,Friday   ,54255.0
Anne Ringer,Wednesday,6475.0
Heather McBadden,Monday   ,19094.0
Reginald Blotchet-Halls,Wednesday,15472.0
Cheryl Carson,Thursday ,11990.0
Meander Smith,Friday   ,8446.0
Meander Smith,Tuesday  ,16214.0
Abraham Bennet,Tuesday  ,49111.0
Livia Karsen,Monday   ,10983.0
Abraham Bennet,Thursday ,48849.0
Albert Ringer,Thursday ,29119.0
Innes del Castillo,Saturday ,22085.0
Cheryl Carson,Saturday ,13437.0
Sylvia Panteley,Thursday ,15250.0
Ann Dull,Friday   ,33540.0
Morningstar Greene,Thursday ,10646.0
Ann Dull,Sunday   ,40913.0
Innes del Castillo,Monday   ,22448.0
Marjorie Green,Monday   ,31440.0
Stearns MacFeather,Saturday ,15986.0
Sylvia Panteley,Thursday ,17525.0
Stearns MacFeather,Friday   ,13469.0
Meander Smith,Monday   ,10473.0
Burt Gringlesby,Tuesday  ,24388.0
Michael O'Leary,Sunday   ,27285.0
Ann Dull,Saturday ,33171.0
Marjorie Green,Friday   ,27123.0
Reginald Blotchet-Halls,Thursday ,20213.0
Johnson White,Friday   ,32704.0
Anne Ringer,Thursday ,14458.0
Reginald Blotchet-Halls,Monday   ,25057.0
Reginald Blotchet-Halls,Thursday ,19308.0
Cheryl Carson,Monday   ,13238.0
Burt Gringlesby,Thursday ,20438.0
Albert Ringer,Monday   ,33184.0
Dirk Stringer,Saturday ,20307.0
Anne Ringer,Monday   ,12684.0
Innes del Castillo,Saturday ,15647.0
Michel DeFrance,Thursday ,30184.0
Sylvia Panteley,Sunday   ,16913.0
Burt Gringlesby,Friday   ,20700.0
Charlene Locksley,Saturday ,27557.0
Anne Ringer,Wednesday,11664.0
Johnson White,Wednesday,41035.0
Meander Smith,Wednesday,10274.0
Morningstar Greene,Tuesday  ,14425.0
Anne Ringer,Saturday ,11043.0
Anne Ringer,Monday   ,10097.0
Morningstar Greene,Sunday   ,22499.0
Dean Straight,Monday   ,21240.0
Livia Karsen,Wednesday,12467.0
Heather McBadden,Tuesday  ,24015.0
Heather McBadden,Monday   ,18702.0
Abraham Bennet,Thursday ,48563.0
Abraham Bennet,Tuesday  ,53871.0
Anne Ringer,Wednesday,8855.0
Johnson White,Monday   ,37248.0
Livia Karsen,Friday   ,17036.0
Reginald Blotchet-Halls,Monday   ,27087.0
Albert Ringer,Saturday ,27394.0
Stearns MacFeather,Wednesday,10617.0
Innes del Castillo,Saturday ,21715.0
Morningstar Greene,Monday   ,23564.0
Johnson White,Sunday   ,31321.0
Morningstar Greene,Friday   ,14566.0
Meander Smith,Sunday   ,11033.0
Cheryl Carson,Wednesday,12864.0
Dirk Stringer,Saturday ,17562.0
Dean Straight,Wednesday,21402.0
Cheryl Carson,Saturday ,10232.0
Livia Karsen,Sunday   ,14856.0
Burt Gringlesby,Saturday ,19831.0
Reginald Blotchet-Halls,Tuesday  ,17874.0
Anne Ringer,Sunday   ,8456.0
Marjorie Green,Wednesday,32553.0
Sylvia Panteley,Wednesday,16297.0
Stearns MacFeather,Wednesday,14081.0
Anne Ringer,Tuesday  ,14384.0
Cheryl Carson,Monday   ,15375.0
Marjorie Green,Sunday   ,33376.0
Reginald Blotchet-Halls,Saturday ,20880.0
Albert Ringer,Wednesday,26462.0
Michael O'Leary,Friday   ,19445.0
Cheryl Carson,Tuesday  ,5591.0
Charlene Locksley,Sunday   ,23462.0
Albert Ringer,Friday   ,30159.0
Livia Karsen,Friday   ,15486.0
Marjorie Green,Thursday ,34890.0
Michael O'Leary,Monday   ,20922.0
Livia Karsen,Tuesday  ,10073.0
Abraham Bennet,Thursday ,53817.0
Dean Straight,Saturday ,18427.0
Heather McBadden,Monday   ,17637.0
Reginald Blotchet-Halls,Monday   ,17828.0
Livia Karsen,Wednesday,10647.0
Charlene Locksley,Thursday ,28443.0
Michel DeFrance,Sunday   ,19939.0
Dirk Stringer,Tuesday  ,21306.0
Dean Straight,Thursday ,10594.0
Abraham Bennet,Sunday   ,50826.0
Ann Dull,Friday   ,37082.0
Sheryl Hunter,Tuesday  ,17128.0
Marjorie Green,Friday   ,29610.0
Stearns MacFeather,Monday   ,16130.0
Stearns MacFeather,Saturday ,18896.0
Innes del Castillo,Monday   ,21669.0
Heather McBadden,Thursday ,22724.0
Dirk Stringer,Sunday   ,13770.0
Dirk Stringer,Friday   ,15558.0
Michel DeFrance,Wednesday,31554.0
Anne Ringer,Monday   ,12285.0
Albert Ringer,Friday   ,35568.0
Marjorie Green,Saturday ,30368.0
Michel DeFrance,Tuesday  ,22612.0
Albert Ringer,Tuesday  ,40172.0
Johnson White,Thursday ,37730.0
Sheryl Hunter,Thursday ,22551.0
Anne Ringer,Thursday ,15892.0
Michael O'Leary,Tuesday  ,28076.0
Innes del Castillo,Friday   ,22632.0
Dean Straight,Thursday ,22005.0
Charlene Locksley,Thursday ,23101.0
Ann Dull,Monday   ,39723.0
Abraham Bennet,Wednesday,48664.0
Stearns MacFeather,Sunday   ,21512.0
Meander Smith,Wednesday,9059.0
Dirk Stringer,Thursday ,18084.0
Livia Karsen,Monday   ,11521.0
Marjorie Green,Saturday ,39199.0
Burt Gringlesby,Monday   ,26517.0
Charlene Locksley,Thursday ,26680.0
Abraham Bennet,Friday   ,49114.0
Livia Karsen,Thursday ,14637.0
Ann Dull,Tuesday  ,34505.0
Morningstar Greene,Tuesday  ,13416.0
Ann Dull,Thursday ,40252.0
Dirk Stringer,Sunday   ,15315.0
Michael O'Leary,Tuesday  ,23385.0
Abraham Bennet,Sunday   ,46542.0
Michel DeFrance,Thursday ,30637.0
Dirk Stringer,Saturday ,12312.0
Stearns MacFeather,Monday   ,20109.0
Johnson White,Tuesday  ,24730.0
Livia Karsen,Friday   ,11776.0
Charlene Locksley,Saturday ,20939.0
Johnson White,Tuesday  ,38673.0
Albert Ringer,Monday   ,27210.0
Burt Gringlesby,Saturday ,20797.0
Johnson White,Thursday ,25210.0
Heather McBadden,Saturday ,15910.0
Heather McBadden,Sunday   ,18846.0
Anne Ringer,Tuesday  ,13911.0
Cheryl Carson,Sunday   ,8766.0
Heather McBadden,Monday   ,22654.0
Burt Gringlesby,Thursday ,19564.0
Dirk Stringer,Tuesday  ,14814.0
Michael O'Leary,Tuesday  ,18935.0
Abraham Bennet,Friday   ,51873.0
Dirk Stringer,Sunday   ,16641.0
Anne Ringer,Friday   ,13423.0
Stearns MacFeather,Wednesday,19977.0
Innes del Castillo,Tuesday  ,25080.0
Marjorie Green,Saturday ,36274.0
Cheryl Carson,Monday   ,17658.0
Dean Straight,Tuesday  ,21494.0
Albert Ringer,Saturday ,38092.0
Stearns MacFeather,Tuesday  ,13781.0
Sylvia Panteley,Thursday ,22363.0
Cheryl Carson,Thursday ,18144.0
Abraham Bennet,Sunday   ,41675.0
Charlene Locksley,Tuesday  ,20754.0
Dean Straight,Tuesday  ,19916.0
Ann Dull,Wednesday,27736.0
Abraham Bennet,Monday   ,44728.0
Morningstar Greene,Sunday   ,15674.0
Heather McBadden,Monday   ,18711.0
Charlene Locksley,Monday   ,33981.0
Sylvia Panteley,Saturday ,17813.0
Reginald Blotchet-Halls,Saturday ,19181.0
Dean Straight,Friday   ,25110.0
Meander Smith,Wednesday,11094.0
Meander Smith,Friday   ,9312.0
Dirk Stringer,Saturday ,22647.0
Meander Smith,Tuesday  ,14194.0
Heather McBadden,Sunday   ,14570.0
Dean Straight,Wednesday,15538.0
Michael O'Leary,Thursday ,27294.0
Anne Ringer,Tuesday  ,11383.0
Sylvia Panteley,Tuesday  ,19199.0
Cheryl Carson,Saturday ,14359.0
Anne Ringer,Saturday ,7022.0
Michel DeFrance,Monday   ,24502.0
Sylvia Panteley,Wednesday,22589.0
Dirk Stringer,Thursday ,20079.0
Charlene Locksley,Monday   ,27981.0
Michel DeFrance,Monday   ,26914.0
Livia Karsen,Sunday   ,14774.0
Dean Straight,Thursday ,16217.0
Cheryl Carson,Sunday   ,14874.0
Dirk Stringer,Monday   ,19605.0
Burt Gringlesby,Thursday ,23317.0
Stearns MacFeather,Sunday   ,12947.0
Michael O'Leary,Tuesday  ,23745.0
Burt Gringlesby,Monday   ,19896.0
Meander Smith,Sunday   ,13060.0
Meander Smith,Sunday   ,7687.0
Dean Straight,Wednesday,15486.0
Stearns MacFeather,Saturday ,12001.0
Reginald Blotchet-Halls,Tuesday  ,17759.0
Heather McBadden,Monday   ,27638.0
Marjorie Green,Saturday ,30953.0
Livia Karsen,Thursday ,10673.0
Charlene Locksley,Monday   ,26738.0
Meander Smith,Tuesday  ,12646.0
Innes del Castillo,Tuesday  ,26000.0
Reginald Blotchet-Halls,Sunday   ,13496.0
Burt Gringlesby,Wednesday,19159.0
Sylvia Panteley,Wednesday,18033.0
Morningstar Greene,Wednesday,21825.0
Sylvia Panteley,Saturday ,13107.0
Albert Ringer,Wednesday,29263.0
Morningstar Greene,Monday   ,21225.0
Meander Smith,Monday   ,9147.0
Livia Karsen,Tuesday  ,13361.0
Heather McBadden,Monday   ,15426.0
Meander Smith,Tuesday  ,9722.0
Dirk Stringer,Monday   ,17175.0
Meander Smith,Wednesday,9354.0
Anne Ringer,Monday   ,10289.0
Stearns MacFeather,Tuesday  ,19599.0
Reginald Blotchet-Halls,Saturday ,26286.0
Cheryl Carson,Saturday ,10621.0
Morningstar Greene,Monday   ,14148.0
Heather McBadden,Wednesday,24192.0
Dean Straight,Tuesday  ,14115.0
Abraham Bennet,Tuesday  ,60996.0
Innes del Castillo,Monday   ,19551.0
Charlene Locksley,Tuesday  ,24751.0
Albert Ringer,Wednesday,32815.0
Ann Dull,Tuesday  ,22497.0
Johnson White,Sunday   ,29531.0
Ann Dull,Tuesday  ,27978.0
Sylvia Panteley,Thursday ,21510.0
Sylvia Panteley,Monday   ,18454.0
Anne Ringer,Saturday ,11797.0
Innes del Castillo,Monday   ,16592.0
Heather McBadden,Tuesday  ,15937.0
Anne Ringer,Friday   ,11797.0
Heather McBadden,Thursday ,14290.0
Dean Straight,Saturday ,14727.0
Charlene Locksley,Friday   ,19674.0
Sheryl Hunter,Tuesday  ,20284.0
Ann Dull,Wednesday,27322.0
Reginald Blotchet-Halls,Sunday   ,17437.0
Dean Straight,Saturday ,21330.0
Sylvia Panteley,Monday   ,21501.0
Meander Smith,Thursday ,7668.0
Abraham Bennet,Saturday ,41027.0
Johnson White,Tuesday  ,36098.0
Johnson White,Saturday ,33666.0
Morningstar Greene,Friday   ,15511.0
Marjorie Green,Saturday ,25828.0
Michael O'Leary,Monday   ,25711.0
Ann Dull,Saturday ,33897.0
Michael O'Leary,Monday   ,19671.0
Morningstar Greene,Sunday   ,19481.0
Innes del Castillo,Thursday ,23797.0
Michel DeFrance,Monday   ,26745.0
Morningstar Greene,Wednesday,21693.0
Marjorie Green,Thursday ,27378.0
Dirk Stringer,Tuesday  ,16401.0
Stearns MacFeather,Friday   ,14179.0
Dirk Stringer,Sunday   ,15915.0
Charlene Locksley,Monday   ,21604.0
Dean Straight,Saturday ,23963.0
Cheryl Carson,Saturday ,18518.0
Johnson White,Tuesday  ,32057.0
Abraham Bennet,Wednesday,44509.0
Reginald Blotchet-Halls,Saturday ,17968.0
Meander Smith,Sunday   ,11646.0
Sylvia Panteley,Monday   ,21938.0
Meander Smith,Monday   ,12021.0
Johnson White,Sunday   ,22894.0
Cheryl Carson,Wednesday,10187.0
Innes del Castillo,Thursday ,27862.0
Charlene Locksley,Thursday ,32148.0
Abraham Bennet,Friday   ,48984.0
Sheryl Hunter,Monday   ,16915.0
Dirk Stringer,Thursday ,12720.0
Michel DeFrance,Wednesday,19862.0
Stearns MacFeather,Wednesday,20552.0
Burt Gringlesby,Tuesday  ,23096.0
Michel DeFrance,Tuesday  ,27194.0
Charlene Locksley,Saturday ,24265.0
Anne Ringer,Saturday ,10496.0
Albert Ringer,Thursday ,29532.0
Anne Ringer,Sunday   ,13852.0
Abraham Bennet,Tuesday  ,59609.0
Marjorie Green,Wednesday,29396.0
Innes del Castillo,Wednesday,23677.0
Anne Ringer,Tuesday  ,12684.0
Stearns MacFeather,Saturday ,22033.0
Johnson White,Monday   ,36420.0
Innes del Castillo,Saturday ,24163.0
Charlene Locksley,Sunday   ,29963.0
Charlene Locksley,Wednesday,27302.0
Innes del Castillo,Friday   ,24628.0
Dirk Stringer,Thursday ,16710.0
Abraham Bennet,Sunday   ,38367.0
Marjorie Green,Friday   ,36370.0
Burt Gringlesby,Wednesday,27704.0
Marjorie Green,Wednesday,29975.0
Ann Dull,Monday   ,30445.0
Sheryl Hunter,Saturday ,19274.0
Sylvia Panteley,Monday   ,25454.0
Ann Dull,Saturday ,39706.0
Sylvia Panteley,Thursday ,18583.0
Innes del Castillo,Sunday   ,19349.0
Johnson White,Thursday ,28682.0
Sylvia Panteley,Friday   ,19227.0
Stearns MacFeather,Monday   ,11551.0
Reginald Blotchet-Halls,Wednesday,14962.0
Anne Ringer,Thursday ,14857.0
Sheryl Hunter,Tuesday  ,18085.0
Dirk Stringer,Friday   ,13416.0
Johnson White,Tuesday  ,32558.0
Charlene Locksley,Wednesday,25920.0
Livia Karsen,Tuesday  ,20634.0
Sylvia Panteley,Friday   ,21092.0
Morningstar Greene,Saturday ,20151.0
Albert Ringer,Saturday ,33849.0
Anne Ringer,Sunday   ,7362.0
Livia Karsen,Wednesday,12142.0
Michel DeFrance,Friday   ,28692.0
Burt Gringlesby,Thursday ,23795.0
Ann Dull,Friday   ,34086.0
Morningstar Greene,Tuesday  ,17305.0
Sheryl Hunter,Monday   ,20533.0
Michael O'Leary,Sunday   ,18515.0
Michael O'Leary,Monday   ,21499.0
Johnson White,Friday   ,26182.0
Sheryl Hunter,Friday   ,20570.0
Burt Gringlesby,Thursday ,19758.0
Innes del Castillo,Wednesday,26434.0
Marjorie Green,Monday   ,34010.0
Michel DeFrance,Monday   ,29019.0
Michel DeFrance,Monday   ,32381.0
Morningstar Greene,Thursday ,15955.0
Ann Dull,Sunday   ,31280.0
Abraham Bennet,Sunday   ,48369.0
Michel DeFrance,Friday   ,31672.0
Michael O'Leary,Thursday ,23769.0
Albert Ringer,Sunday   ,24538.0
Cheryl Carson,Tuesday  ,17646.0
Ann Dull,Saturday ,29180.0
Sylvia Panteley,Tuesday  ,11217.0
Ann Dull,Sunday   ,33108.0
Charlene Locksley,Monday   ,19385.0
Sheryl Hunter,Monday   ,20014.0
Sheryl Hunter,Tuesday  ,20102.0
Charlene Locksley,Tuesday  ,26529.0
Anne Ringer,Friday   ,13852.0
Burt Gringlesby,Tuesday  ,15983.0
Sylvia Panteley,Monday   ,15409.0
Meander Smith,Wednesday,7032.0
Livia Karsen,Tuesday  ,14982.0
Dirk Stringer,Thursday ,16815.0
Michael O'Leary,Saturday ,21522.0
Anne Ringer,Friday   ,15271.0
Ann Dull,Saturday ,39240.0
Burt Gringlesby,Saturday ,26007.0
Anne Ringer,Monday   ,9742.0
Anne Ringer,Saturday ,14739.0
Abraham Bennet,Saturday ,52760.0
Abraham Bennet,Wednesday,45168.0
Michel DeFrance,Wednesday,26680.0
Johnson White,Friday   ,33254.0
Abraham Bennet,Thursday ,52106.0
Heather McBadden,Friday   ,18201.0
Meander Smith,Tuesday  ,10799.0
Morningstar Greene,Saturday ,20585.0
Marjorie Green,Tuesday  ,34276.0
Morningstar Greene,Tuesday  ,14077.0
Ann Dull,Thursday ,31112.0
Morningstar Greene,Saturday ,21295.0
Sylvia Panteley,Thursday ,14140.0
Meander Smith,Saturday ,10358.0
Innes del Castillo,Tuesday  ,22479.0
Sylvia Panteley,Monday   ,17918.0
Dean Straight,Saturday ,18257.0
Innes del Castillo,Sunday   ,20077.0
Innes del Castillo,Wednesday,17591.0
Marjorie Green,Sunday   ,33619.0
Albert Ringer,Wednesday,33919.0
Marjorie Green,Sunday   ,30360.0
Heather McBadden,Friday   ,12090.0
Reginald Blotchet-Halls,Monday   ,23514.0
Innes del Castillo,Monday   ,28458.0
Cheryl Carson,Tuesday  ,9781.0
Sheryl Hunter,Wednesday,12497.0
Albert Ringer,Wednesday,33051.0
Heather McBadden,Sunday   ,19526.0
Sheryl Hunter,Thursday ,23254.0
Burt Gringlesby,Wednesday,20131.0
Albert Ringer,Sunday   ,30969.0
Michel DeFrance,Sunday   ,28628.0
Anne Ringer,Friday   ,8870.0
Meander Smith,Tuesday  ,9592.0
Abraham Bennet,Thursday ,40381.0
Reginald Blotchet-Halls,Saturday ,23874.0
Charlene Locksley,Monday   ,26382.0
Michael O'Leary,Saturday ,19915.0
Cheryl Carson,Wednesday,18598.0
Michael O'Leary,Wednesday,23219.0
Marjorie Green,Wednesday,29943.0
Cheryl Carson,Monday   ,17428.0
Anne Ringer,Sunday   ,15064.0
Abraham Bennet,Saturday ,51975.0
Sylvia Panteley,Sunday   ,23304.0
Michel DeFrance,Friday   ,36058.0
Sheryl Hunter,Wednesday,16517.0
Meander Smith,Saturday ,14328.0
Anne Ringer,Thursday ,10437.0
Heather McBadden,Saturday ,13550.0
Johnson White,Monday   ,40302.0
Dirk Stringer,Sunday   ,19230.0
Michel DeFrance,Sunday   ,24720.0
Sylvia Panteley,Thursday ,17527.0
Albert Ringer,Tuesday  ,20651.0
Morningstar Greene,Thursday ,17751.0
Charlene Locksley,Wednesday,26175.0
Stearns MacFeather,Saturday ,19241.0
Livia Karsen,Thursday ,7202.0
Ann Dull,Sunday   ,31159.0
Michael O'Leary,Monday   ,20301.0
Livia Karsen,Wednesday,9616.0
Livia Karsen,Sunday   ,7064.0
Sylvia Panteley,Sunday   ,16624.0
Marjorie Green,Saturday ,34843.0
Innes del Castillo,Saturday ,21510.0
Ann Dull,Monday   ,36157.0
Innes del Castillo,Monday   ,18713.0
Burt Gringlesby,Saturday ,23887.0
Albert Ringer,Tuesday  ,32572.0
Cheryl Carson,Sunday   ,13830.0
Livia Karsen,Monday   ,12568.0
Michael O'Leary,Thursday ,15250.0
Dean Straight,Monday   ,24673.0
Stearns MacFeather,Monday   ,14140.0
Morningstar Greene,Thursday ,16099.0
Dirk Stringer,Saturday ,19401.0
Albert Ringer,Thursday ,42551.0
Reginald Blotchet-Halls,Wednesday,24060.0
Michael O'Leary,Monday   ,20565.0
Sheryl Hunter,Friday   ,19195.0
Dirk Stringer,Wednesday,11721.0
Meander Smith,Friday   ,7760.0
Reginald Blotchet-Halls,Friday   ,28561.0
Abraham Bennet,Monday   ,39807.0
Johnson White,Tuesday  ,43084.0
Michael O'Leary,Tuesday  ,19057.0
Reginald Blotchet-Halls,Friday   ,22440.0
Meander Smith,Thursday ,12286.0
Marjorie Green,Tuesday  ,33760.0
Burt Gringlesby,Tuesday  ,21731.0
Ann Dull,Thursday ,33511.0
Stearns MacFeather,Sunday   ,15686.0
Livia Karsen,Thursday ,13408.0
Meander Smith,Tuesday  ,11228.0
Michel DeFrance,Saturday ,24218.0
Ann Dull,Wednesday,30382.0
Burt Gringlesby,Tuesday  ,19464.0
Johnson White,Monday   ,48342.0
Ann Dull,Thursday ,38038.0
Sheryl Hunter,Thursday ,19583.0
Michel DeFrance,Wednesday,25495.0
Ann Dull,Tuesday  ,39798.0
Ann Dull,Tuesday  ,41828.0
Johnson White,Wednesday,26793.0
Meander Smith,Monday   ,13152.0
Livia Karsen,Saturday ,15338.0
Albert Ringer,Friday   ,36178.0
Marjorie Green,Saturday ,34148.0
Johnson White,Thursday ,31802.0
Ann Dull,Friday   ,39142.0
Cheryl Carson,Thursday ,11004.0
Burt Gringlesby,Monday   ,23450.0
Albert Ringer,Wednesday,31602.0
Stearns MacFeather,Wednesday,19254.0
